# x   u_num   u_exact
    0.5125000000E+01    0.8363965155E+00    0.0000000000E+00
    0.5175000000E+01    0.8277290048E+00    0.0000000000E+00
    0.5225000000E+01    0.8162249661E+00    0.0000000000E+00
    0.5275000000E+01    0.8020036783E+00    0.0000000000E+00
    0.5325000000E+01    0.7852115373E+00    0.0000000000E+00
    0.5375000000E+01    0.7660195449E+00    0.0000000000E+00
    0.5425000000E+01    0.7446204074E+00    0.0000000000E+00
    0.5475000000E+01    0.7212253124E+00    0.0000000000E+00
    0.5525000000E+01    0.6960604605E+00    0.0000000000E+00
    0.5575000000E+01    0.6693634289E+00    0.0000000000E+00
    0.5625000000E+01    0.6413794516E+00    0.0000000000E+00
    0.5675000000E+01    0.6123576949E+00    0.0000000000E+00
    0.5725000000E+01    0.5825476082E+00    0.0000000000E+00
    0.5775000000E+01    0.5521954226E+00    0.0000000000E+00
    0.5825000000E+01    0.5215408650E+00    0.0000000000E+00
    0.5875000000E+01    0.4908141460E+00    0.0000000000E+00
    0.5925000000E+01    0.4602332712E+00    0.0000000000E+00
    0.5975000000E+01    0.4300017139E+00    0.0000000000E+00
    0.6025000000E+01    0.4003064779E+00    0.0000000000E+00
    0.6075000000E+01    0.3713165666E+00    0.0000000000E+00
    0.6125000000E+01    0.3431818645E+00    0.0000000000E+00
    0.6175000000E+01    0.3160324264E+00    0.0000000000E+00
    0.6225000000E+01    0.2899781604E+00    0.0000000000E+00
    0.6275000000E+01    0.2651088824E+00    0.0000000000E+00
    0.6325000000E+01    0.2414947115E+00    0.0000000000E+00
    0.6375000000E+01    0.2191867712E+00    0.0000000000E+00
    0.6425000000E+01    0.1982181569E+00    0.0000000000E+00
    0.6475000000E+01    0.1786051253E+00    0.0000000000E+00
    0.6525000000E+01    0.1603484620E+00    0.0000000000E+00
    0.6575000000E+01    0.1434349824E+00    0.0000000000E+00
    0.6625000000E+01    0.1278391222E+00    0.0000000000E+00
    0.6675000000E+01    0.1135245763E+00    0.0000000000E+00
    0.6725000000E+01    0.1004459468E+00    0.0000000000E+00
    0.6775000000E+01    0.8855036653E-01    0.0000000000E+00
    0.6825000000E+01    0.7777906695E-01    0.0000000000E+00
    0.6875000000E+01    0.6806886571E-01    0.0000000000E+00
    0.6925000000E+01    0.5935355213E-01    0.0000000000E+00
    0.6975000000E+01    0.5156515538E-01    0.0000000000E+00
    0.7025000000E+01    0.4463508391E-01    0.0000000000E+00
    0.7075000000E+01    0.3849512942E-01    0.0000000000E+00
    0.7125000000E+01    0.3307833260E-01    0.0000000000E+00
    0.7175000000E+01    0.2831971147E-01    0.0000000000E+00
    0.7225000000E+01    0.2415685646E-01    0.0000000000E+00
    0.7275000000E+01    0.2053039866E-01    0.0000000000E+00
    0.7325000000E+01    0.1738435991E-01    0.0000000000E+00
    0.7375000000E+01    0.1466639482E-01    0.0000000000E+00
    0.7425000000E+01    0.1232793599E-01    0.0000000000E+00
    0.7475000000E+01    0.1032425413E-01    0.0000000000E+00
    0.7525000000E+01    0.8614444989E-02    0.0000000000E+00
    0.7575000000E+01    0.7161354971E-02    0.0000000000E+00
    0.7625000000E+01    0.5931456713E-02    0.0000000000E+00
    0.7675000000E+01    0.4894685308E-02    0.0000000000E+00
    0.7725000000E+01    0.4024244970E-02    0.0000000000E+00
    0.7775000000E+01    0.3296395011E-02    0.0000000000E+00
    0.7825000000E+01    0.2690222913E-02    0.0000000000E+00
    0.7875000000E+01    0.2187411261E-02    0.0000000000E+00
    0.7925000000E+01    0.1772004221E-02    0.0000000000E+00
    0.7975000000E+01    0.1430178243E-02    0.0000000000E+00
    0.8025000000E+01    0.1150020710E-02    0.0000000000E+00
    0.8075000000E+01    0.9213193818E-03    0.0000000000E+00
    0.8125000000E+01    0.7353646965E-03    0.0000000000E+00
    0.8175000000E+01    0.5847663023E-03    0.0000000000E+00
    0.8225000000E+01    0.4632845973E-03    0.0000000000E+00
    0.8275000000E+01    0.3656775638E-03    0.0000000000E+00
    0.8325000000E+01    0.2875627746E-03    0.0000000000E+00
    0.8375000000E+01    0.2252941313E-03    0.0000000000E+00
    0.8425000000E+01    0.1758526514E-03    0.0000000000E+00
    0.8475000000E+01    0.1367504471E-03    0.0000000000E+00
    0.8525000000E+01    0.1059469223E-03    0.0000000000E+00
    0.8575000000E+01    0.8177614874E-04    0.0000000000E+00
    0.8625000000E+01    0.6288435953E-04    0.0000000000E+00
    0.8675000000E+01    0.4817650290E-04    0.0000000000E+00
    0.8725000000E+01    0.3677083597E-04    0.0000000000E+00
    0.8775000000E+01    0.2796058794E-04    0.0000000000E+00
    0.8825000000E+01    0.2118178826E-04    0.0000000000E+00
    0.8875000000E+01    0.1598642824E-04    0.0000000000E+00
    0.8925000000E+01    0.1202020128E-04    0.0000000000E+00
    0.8975000000E+01    0.9004145860E-05    0.0000000000E+00
    0.9025000000E+01    0.6719591073E-05    0.0000000000E+00
    0.9075000000E+01    0.4995878556E-05    0.0000000000E+00
    0.9125000000E+01    0.3700402683E-05    0.0000000000E+00
    0.9175000000E+01    0.2730574385E-05    0.0000000000E+00
    0.9225000000E+01    0.2007371125E-05    0.0000000000E+00
    0.9275000000E+01    0.1470186852E-05    0.0000000000E+00
    0.9325000000E+01    0.1072741067E-05    0.0000000000E+00
    0.9375000000E+01    0.7798457847E-06    0.0000000000E+00
    0.9425000000E+01    0.5648634642E-06    0.0000000000E+00
    0.9475000000E+01    0.4077184013E-06    0.0000000000E+00
    0.9525000000E+01    0.2933490871E-06    0.0000000000E+00
    0.9575000000E+01    0.2105101120E-06    0.0000000000E+00
    0.9625000000E+01    0.1508498394E-06    0.0000000000E+00
    0.9675000000E+01    0.1082047372E-06    0.0000000000E+00
    0.9725000000E+01    0.7806337202E-07    0.0000000000E+00
    0.9775000000E+01    0.5716303885E-07    0.0000000000E+00
    0.9825000000E+01    0.4319017235E-07    0.0000000000E+00
    0.9875000000E+01    0.3456239516E-07    0.0000000000E+00
    0.9925000000E+01    0.3027558021E-07    0.0000000000E+00
    0.9975000000E+01    0.2980390250E-07    0.0000000000E+00
